"directorio","secuencia_p","orden","clase","dominio","age","sex","estrato1","p6210","p6240","mes","relab","p6426","p6870","p6920","p7040","p7070","y_total_m_ha","maxEducLevel","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","college","depto","ingtot"
4514491,1,2,1,"BOGOTA",23,0,3,5,1,1,1,12,9,1,2,0,5491.2490234375,6,40,1,0,0,0,5,941357,1,11,9.41357e-07
4514492,1,1,1,"BOGOTA",44,1,3,3,1,1,1,24,4,2,2,0,4148.14794921875,4,45,0,1,0,0,3,8e+05,0,11,9.5e-07
4514494,1,6,1,"BOGOTA",20,0,3,5,1,1,1,4,2,2,2,0,4375,6,48,0,1,0,1,2,9e+05,1,11,9e-07
4514496,1,1,1,"BOGOTA",24,1,3,6,1,1,4,1,9,1,2,0,16333.3330078125,7,40,1,0,1,0,5,2800000,0,11,2.8e-06
4514497,1,1,1,"BOGOTA",43,1,2,5,1,1,1,24,5,2,2,0,4666.66650390625,6,40,0,1,0,0,4,8e+05,1,11,8e-07
4514498,1,1,1,"BOGOTA",32,1,2,5,1,1,1,12,3,1,2,0,4861.111328125,6,48,1,0,0,1,2,1e+06,1,11,1e-06
4514499,1,1,1,"BOGOTA",44,0,2,5,1,1,4,9,1,2,1,260000,3070.17553710938,6,38,0,1,1,1,1,5e+05,1,11,7.76666666666667e-07
4514500,1,1,1,"BOGOTA",51,0,2,3,1,1,3,9,1,1,1,2e+05,5113.22119140625,4,50,1,0,0,1,1,1095690.25,0,11,1.09569033333333e-06
4514501,1,2,1,"BOGOTA",43,1,2,3,1,1,1,3,9,1,2,0,3259.6826171875,4,54,1,0,0,0,5,754383.6875,0,11,7.54383666666667e-07
4514502,1,1,1,"BOGOTA",54,1,2,5,1,1,1,36,9,1,2,0,5371.666015625,6,40,1,0,0,0,5,920857,1,11,1.070857e-06
4514507,1,1,1,"BOGOTA",21,1,2,5,1,1,1,2,9,1,2,0,3586.12426757812,6,48,1,0,0,0,5,737717,1,11,7.37717e-07
4514512,1,1,1,"BOGOTA",43,0,2,6,1,1,5,144,2,2,1,3e+05,3111.11108398438,7,75,0,1,0,1,2,1e+06,0,11,1.3e-06
4514512,1,3,1,"BOGOTA",37,0,2,3,1,1,1,60,2,2,2,0,1750,4,40,0,1,0,1,2,3e+05,0,11,3e-07
4514514,1,2,1,"BOGOTA",43,0,2,5,1,1,1,6,6,1,1,180000,5482.60791015625,6,46,1,0,0,0,4,1080857,1,11,1.080857e-06
4514514,1,1,1,"BOGOTA",43,1,2,6,1,1,1,99,9,1,2,0,6175.2314453125,7,48,1,0,0,0,5,1270333.375,0,11,1.82033341666667e-06
4514515,1,1,1,"BOGOTA",33,1,2,5,1,1,1,5,4,2,2,0,3733.33325195312,6,50,0,1,0,0,3,8e+05,1,11,8e-07
4514516,1,2,1,"BOGOTA",32,0,2,6,1,1,1,12,9,1,2,0,17937.5,7,40,1,0,0,0,5,3075000,0,11,3.075e-06
4514518,1,1,1,"BOGOTA",52,1,2,5,1,1,1,168,9,1,2,0,8444.4306640625,6,48,1,0,0,0,5,1737140,1,11,2.11714e-06
4514519,1,1,1,"BOGOTA",35,1,1,5,1,1,1,132,9,1,2,0,2784.42309570312,6,72,1,0,0,0,5,859193.4375,1,11,1.38919341666667e-06
4514520,1,1,1,"BOGOTA",23,0,1,5,1,1,1,3,8,1,2,0,4430.09326171875,6,48,1,0,0,0,5,911333.4375,1,11,9.11333416666667e-07
4514521,1,3,1,"BOGOTA",21,0,1,6,1,1,1,36,6,2,2,0,2592.59252929688,7,72,0,1,0,0,4,8e+05,0,11,8e-07
4514538,1,2,1,"BOGOTA",41,0,2,6,1,1,1,36,5,1,1,5e+05,4003.7041015625,7,84,1,0,0,0,4,1441333.5,0,11,1.44133341666667e-06
4514538,1,1,1,"BOGOTA",54,1,2,4,1,1,1,24,4,1,2,0,4289.12109375,5,48,1,0,0,0,3,882333.4375,0,11,8.82333416666667e-07
4514542,1,4,1,"BOGOTA",23,1,4,6,1,1,1,24,9,1,2,0,10532.408203125,7,48,1,0,0,0,5,2166666.75,0,11,2.16666666666667e-06
4514549,1,1,1,"BOGOTA",57,1,2,5,1,1,1,60,3,2,2,0,4666.66650390625,6,40,0,1,0,1,2,8e+05,1,11,1.35e-06
4514565,1,1,1,"BOGOTA",35,0,2,6,1,1,4,60,6,1,2,0,2566.66674804688,7,60,1,0,1,0,4,660000,0,11,6.6e-07
4521221,1,1,1,"BOGOTA",33,0,5,6,1,1,1,48,9,1,2,0,72916.6640625,7,32,1,0,0,0,5,1e+07,0,11,1e-05
4521222,1,2,1,"BOGOTA",63,1,3,5,1,1,3,48,1,2,2,0,3500,6,40,0,1,0,1,1,6e+05,1,11,6e-07
4521223,1,1,1,"BOGOTA",41,1,5,6,1,1,1,136,9,1,2,0,77777.78125,7,48,1,0,0,0,5,1.6e+07,0,11,2e-05
4521223,1,2,1,"BOGOTA",38,0,5,6,1,1,1,24,9,1,2,0,42534.72265625,7,48,1,0,0,0,5,8750000,0,11,8.75e-06
4521226,1,2,1,"BOGOTA",45,1,3,5,1,1,4,10,9,1,2,0,11215.5556640625,6,45,1,0,1,0,5,2163000,1,11,2.163e-06
4521228,1,1,1,"BOGOTA",49,0,3,4,1,1,3,1,1,2,2,0,4375,5,48,0,1,0,1,1,9e+05,0,11,9e-07
4521229,1,1,1,"BOGOTA",54,1,3,6,1,1,1,3,9,1,2,0,10694.4443359375,7,48,1,0,0,0,5,2200000,0,11,2.4e-06
